sample_id;temp;species
mcap_B1;18;mcap
mcap_B10;26.8;mcap
mcap_B6;12;mcap
mcap_B7;35;mcap
mcap_B8;25;mcap
mcap_B9;30;mcap
mcap_F10;26.8;mcap
mcap_F1;18;mcap
mcap_F6;12;mcap
mcap_F7;35;mcap
mcap_F8;25;mcap
mcap_F9;30;mcap
mcap_G1;18;mcap
mcap_G10;26.8;mcap
mcap_G6;12;mcap
mcap_G7;35;mcap
mcap_G8;25;mcap
mcap_G9;30;mcap
mcap_H1;18;mcap
mcap_H10;26.8;mcap
mcap_H6;12;mcap
mcap_H7;35;mcap
mcap_H8;25;mcap
mcap_H9;30;mcap
pacu_B10;26.8;pacu
pacu_B6;12;pacu
pacu_B7;35;pacu
pacu_B8;25;pacu
pacu_B9;30;pacu
pacu_F6;12;pacu
pacu_F7;35;pacu
pacu_F8;25;pacu
pacu_F9;30;pacu
pacu_G1;18;pacu
pacu_G10;26.8;pacu
pacu_G6;12;pacu
pacu_G7;35;pacu
pacu_G8;25;pacu
pacu_G9;30;pacu
pacu_H1;18;pacu
pacu_H10;26.8;pacu
pacu_H6;12;pacu
pacu_H7;35;pacu
pacu_H8;25;pacu
pacu_H9;30;pacu
pcom_B1;18;pcom
pcom_B10;26.8;pcom
pcom_B6;12;pcom
pcom_B8;25;pcom
pcom_B9;30;pcom
pcom_F10;26.8;pcom
pcom_F6;12;pcom
pcom_F7;35;pcom
pcom_F8;25;pcom
pcom_F9;30;pcom
pcom_G1;18;pcom
pcom_G10;26.8;pcom
pcom_G6;12;pcom
pcom_G7;35;pcom
pcom_G8;25;pcom
pcom_G9;30;pcom
pcom_H1;18;pcom
pcom_H10;26.8;pcom
pcom_H6;12;pcom
pcom_H7;35;pcom
pcom_H8;25;pcom
pcom_H9;30;pcom
