"cluster_condition","slim_term","ontology","go_term_count","temperature","cluster","direction"
"blue_30","DNA-templated transcription","BP",6,"30","blue","up"
"blue_30","amino acid metabolic process","BP",1,"30","blue","up"
"blue_30","anatomical structure development","BP",107,"30","blue","up"
"blue_30","carbohydrate metabolic process","BP",3,"30","blue","up"
"blue_30","catalytic activity","MF",9,"30","blue","up"
"blue_30","cell adhesion","BP",2,"30","blue","up"
"blue_30","cell differentiation","BP",3,"30","blue","up"
"blue_30","cell junction organization","BP",18,"30","blue","up"
"blue_30","cell motility","BP",5,"30","blue","up"
"blue_30","circulatory system process","BP",14,"30","blue","up"
"blue_30","cytoskeletal protein binding","MF",1,"30","blue","up"
"blue_30","cytoskeleton organization","BP",15,"30","blue","up"
"blue_30","defense response to other organism","BP",1,"30","blue","up"
"blue_30","establishment or maintenance of cell polarity","BP",1,"30","blue","up"
"blue_30","generation of precursor metabolites and energy","BP",5,"30","blue","up"
"blue_30","immune system process","BP",37,"30","blue","up"
"blue_30","intracellular protein transport","BP",2,"30","blue","up"
"blue_30","lipid binding","MF",8,"30","blue","up"
"blue_30","lipid metabolic process","BP",12,"30","blue","up"
"blue_30","mRNA metabolic process","BP",2,"30","blue","up"
"blue_30","membrane organization","BP",4,"30","blue","up"
"blue_30","muscle system process","BP",2,"30","blue","up"
"blue_30","programmed cell death","BP",9,"30","blue","up"
"blue_30","protein catabolic process","BP",3,"30","blue","up"
"blue_30","protein localization to plasma membrane","BP",2,"30","blue","up"
"blue_30","protein-containing complex assembly","BP",9,"30","blue","up"
"blue_30","reproductive process","BP",6,"30","blue","up"
"blue_30","ribosome biogenesis","BP",1,"30","blue","up"
"blue_30","signaling","BP",26,"30","blue","up"
"blue_30","structural molecule activity","MF",1,"30","blue","up"
"blue_30","sulfur compound metabolic process","BP",2,"30","blue","up"
"blue_30","transcription regulator activity","MF",2,"30","blue","up"
"blue_30","vesicle-mediated transport","BP",10,"30","blue","up"
"blue_30","wound healing","BP",2,"30","blue","up"
"blue_35","DNA binding","MF",1,"35","blue","up"
"blue_35","amino acid metabolic process","BP",1,"35","blue","up"
"blue_35","anatomical structure development","BP",96,"35","blue","up"
"blue_35","catalytic activity","MF",10,"35","blue","up"
"blue_35","cell differentiation","BP",6,"35","blue","up"
"blue_35","cell junction organization","BP",1,"35","blue","up"
"blue_35","circulatory system process","BP",2,"35","blue","up"
"blue_35","cytoskeletal protein binding","MF",3,"35","blue","up"
"blue_35","cytoskeleton organization","BP",7,"35","blue","up"
"blue_35","defense response to other organism","BP",1,"35","blue","up"
"blue_35","detoxification","BP",2,"35","blue","up"
"blue_35","extracellular matrix organization","BP",1,"35","blue","up"
"blue_35","immune system process","BP",10,"35","blue","up"
"blue_35","mRNA metabolic process","BP",3,"35","blue","up"
"blue_35","nervous system process","BP",4,"35","blue","up"
"blue_35","protein catabolic process","BP",1,"35","blue","up"
"blue_35","protein-containing complex assembly","BP",3,"35","blue","up"
"blue_35","signaling","BP",19,"35","blue","up"
"blue_35","transmembrane transport","BP",1,"35","blue","up"
"blue_35","vesicle-mediated transport","BP",2,"35","blue","up"
"blue_control","anatomical structure development","BP",17,"control","blue","up"
"blue_control","cell adhesion","BP",10,"control","blue","up"
"blue_control","cell differentiation","BP",1,"control","blue","up"
"blue_control","cell junction organization","BP",6,"control","blue","up"
"blue_control","generation of precursor metabolites and energy","BP",1,"control","blue","up"
"blue_control","immune system process","BP",14,"control","blue","up"
"blue_control","lipid metabolic process","BP",1,"control","blue","up"
"blue_control","mRNA metabolic process","BP",3,"control","blue","up"
"blue_control","membrane organization","BP",1,"control","blue","up"
"blue_control","nervous system process","BP",4,"control","blue","up"
"blue_control","programmed cell death","BP",6,"control","blue","up"
"blue_control","reproductive process","BP",2,"control","blue","up"
"blue_control","signaling","BP",6,"control","blue","up"
"blue_control","structural molecule activity","MF",1,"control","blue","up"
"turquoise_30","DNA binding","MF",1,"30","turquoise","down"
"turquoise_30","anatomical structure development","BP",15,"30","turquoise","down"
"turquoise_30","carbohydrate derivative metabolic process","BP",5,"30","turquoise","down"
"turquoise_30","catalytic activity","MF",10,"30","turquoise","down"
"turquoise_30","lipid metabolic process","BP",10,"30","turquoise","down"
"turquoise_30","molecular function regulator activity","MF",5,"30","turquoise","down"
"turquoise_30","signaling","BP",2,"30","turquoise","down"
"turquoise_35","DNA repair","BP",1,"35","turquoise","down"
"turquoise_35","amino acid metabolic process","BP",2,"35","turquoise","down"
"turquoise_35","anatomical structure development","BP",3,"35","turquoise","down"
"turquoise_35","protein-containing complex assembly","BP",2,"35","turquoise","down"
"turquoise_35","transmembrane transport","BP",3,"35","turquoise","down"
"turquoise_35","transporter activity","MF",11,"35","turquoise","down"
"turquoise_control","DNA repair","BP",1,"control","turquoise","down"
"turquoise_control","anatomical structure development","BP",2,"control","turquoise","down"
"turquoise_control","catalytic activity","MF",1,"control","turquoise","down"
"turquoise_control","lipid binding","MF",1,"control","turquoise","down"
"turquoise_control","mRNA metabolic process","BP",2,"control","turquoise","down"
"turquoise_control","protein-containing complex assembly","BP",1,"control","turquoise","down"
"turquoise_control","telomere organization","BP",1,"control","turquoise","down"
