colony_id;cells/ml;dilution_fact;plate
MCAP-A6;266864.5396;1;2
MCAP-A7;307211.4951;1;4
MCAP-A8;287540.4336;1;3
MCAP-A9;304595.5191;1;4
MCAP-B1;151243.01;1;5
MCAP-B10;225802.783;1;5
MCAP-B6;360624.874;1;5
MCAP-B7;304261.4881;1;2
MCAP-B8;382297.9453;1;4
MCAP-B9;608397.0915;1;4
MCAP-C10;329673.4281;1;4
MCAP-C6;154582.7541;1;3
MCAP-C7;261403.587;1;2
MCAP-C8;536424.9338;1;4
MCAP-C9;221035.3136;1;2
MCAP-D1;357863.5875;1;4
MCAP-D10;257732.6392;1;3
MCAP-D6;202167.3665;1;3
MCAP-D7;122094.7933;1;3
MCAP-D8;194469.318;1;3
MCAP-D9;277628.7085;1;4
MCAP-E1;327453.9496;1;4
MCAP-E10;158932.3716;1;3
MCAP-E6;138033.8138;1;5
MCAP-E7;185879.6629;1;5
MCAP-E8;178031.3983;1;3
MCAP-E9;461636.1866;1;3
MCAP-F1;229915.4644;1;4
MCAP-F10;281715.2704;1;2
MCAP-F6;150449.4995;1;1
MCAP-F7;171625.4231;1;2
MCAP-F8;161190.0964;1;2
MCAP-F9;178015.723;1;5
MCAP-G1;210826.4294;1;4
MCAP-G10;164078.6874;1;5
MCAP-G6;165763.8948;1;3
MCAP-G7;241733.4706;1;5
MCAP-G8;199884.7991;1;5
MCAP-G9;62715.03355;1.538;6
MCAP-H1;184459.5908;1;4
MCAP-H10;212035.9995;1;1
MCAP-H6;154956.2235;1.538;2
MCAP-H7;174828.4396;1;2
MCAP-H8;350764.7386;1;4
MCAP-H9;360331.7817;1;4
PCOM-H1;505898.9109;1;5
PACT-A10;662011.4525;1;3
PACT-A6;793139.8815;1;1
PACT-A7;184197.5146;1;3
PACT-A8;692203.1512;1;2
PACT-A9;428287.2867;1;4
PACT-B1;137873.4958;1;4
PACT-B10;162247.6117;1;5
PACT-B6;134120.0268;1;2
PACT-B7;186436.7892;1;2
PACT-B8;36837.61843;1;5
PACT-B9;399435.1571;1;4
PACT-C1;145816.7413;1;4
PACT-C10;382701.2308;1;1
PACT-C6;457189.7742;1;3
PACT-C7;340949.162;1;3
PACT-C8;378946.3845;1;3
PACT-D1;150836.307;1;4
PACT-D10;172365.3704;1;4
PACT-D6;151466.0156;2.6;5
PACT-D7;156357.1576;1;1
PACT-D8;203561.0724;1;2
PACT-D9;150372.4716;1;3
PACT-E6;699579.5867;1;3
PACT-E7;424361.2887;1;4
PACT-E8;389274.7068;1;2
PACT-E9;183499.9042;1;6
PACT-F10;208715.272;1;2
PACT-F6;148087.3838;1;5
PACT-F7;504167.2862;1;2
PACT-F8;376077.1935;1;2
PACT-F9;538827.0247;1;5
PACT-G1;519508.9261;1;4
PACT-G10;414101.5139;1;2
PACT-G6;441567.3512;1;2
PACT-G7;579741.1789;1;2
PACT-G8;321291.086;1;3
PACT-G9;258315.4328;1.538;6
PACT-H1;784210.6361;1;5
PACT-H10;632196.0656;1;4
PACT-H6;332075.5257;1;2
PACT-H7;181400.8709;1;1
PACT-H8;152654.1257;1.538;5
PACT-H9;263169.4418;1.538;5
PCOM-A1;597595.7597;1;4
PCOM-A10;580449.1875;1;3
PCOM-A6;628568.9957;1;1
PCOM-A7;497777.5591;1;1
PCOM-A8;760736.9186;1;3
PCOM-A9;308584.6718;1;2
PCOM-B1;1008463.25;1.538;5
PCOM-B10;1419090.511;1;2
PCOM-B6;1087593.328;1;2
PCOM-B7;682482.3242;1.538;5
PCOM-B8;808273.1807;1.538;5
PCOM-B9;555527.5387;1.538;6
PCOM-C1;605153.632;1;4
PCOM-C10;324751.4516;1;3
PCOM-C6;718669.8857;1;3
PCOM-C7;938533.5087;1;4
PCOM-C8;743933.7981;1;3
PCOM-C9;84618.31813;1;5
PCOM-D10;552279.2409;1;1
PCOM-D6;619703.6206;1;3
PCOM-D7;604300.5054;1;4
PCOM-D8;581560.8324;1;3
PCOM-D9;647093.1421;1;4
PCOM-E1;795189.1189;1;4
PCOM-E10;1053376.743;1;3
PCOM-E6;1037993.145;1;3
PCOM-E7;846818.2904;1;2
PCOM-E8;703173.4747;1;4
PCOM-E9;700635.4391;1;4
PCOM-F10;516540.9013;1;2
PCOM-F6;377676.8706;1;5
PCOM-F7;678985.1397;1;5
PCOM-F8;673263.7401;1;4
PCOM-F9;459035.5353;1;5
PCOM-G1;943369.2146;1;4
PCOM-G10;548333.7062;1;1
PCOM-G6;566657.739;1;5
PCOM-G7;1009749.685;1;5
PCOM-G8;1138438.783;1;2
PCOM-G9;1121880.317;1;5
PCOM-H10;479228.9796;1.538;5
PCOM-H6;729972.198;1;2
PCOM-H7;502119.4747;1.538;5
PCOM-H8;451636.26;1.538;2
PCOM-H9;620150.1013;1;5
